"","V1","V2","V3","V4"
"Emission Type","Scope 1 Direct Emissions: Total","Scope 1 Direct Emissions: NetTotal","Scope 1 Applied Offsets","Scope 2 Indirect Emissions"
"2019","248825.773006","182508.773006","66317","78366.044793"
"2018","246783.233889","168686.233889","78097","89945.067333"
"2017","245912.134162","173930.134162","71982","89989.171449"
"2016","241727.814359","182913.814359","58814","85290.838958"
"2015","236051.712039","171515.712039","64536","117753.587377"
"2014","237885.356815","180266.356815","57619","81591.862432"
"2013","226171.94512","226171.94512","0","92805.44226"
"2012","244235.62424","244235.62424","0","66246.72674"
"2011","231337.95482","231337.95482","0","79720.05378"
"2010","230210.73822","230210.73822","0","57675.43418"
"2009","234096.24535","234096.24535","0","69870.24341"
"2007","180939.62","180939.62","0","108455.48"
"2006","172442.15","172442.15","0","92703.48"
